Date,Index,Value
2000-10-02,Euro,100
2000-11-02,Euro,97.59255053
2000-12-01,Euro,99.53440836
2001-01-02,Euro,107.483534
2001-02-01,Euro,106.5637066
2001-03-01,Euro,105.5076084
2001-04-02,Euro,100.2044061
2001-05-01,Euro,101.4876221
2001-06-01,Euro,95.98001363
2001-07-02,Euro,96.01408131
2001-08-01,Euro,99.85237338
2001-09-04,Euro,100.7040654
2001-10-01,Euro,104.0086305
2001-11-01,Euro,102.7027027
2001-12-03,Euro,101.0333863
2002-01-02,Euro,102.5550761
2002-02-01,Euro,97.80831251
2002-03-01,Euro,98.25119237
2002-04-01,Euro,100
2002-05-01,Euro,102.9071088
2002-06-03,Euro,106.6318419
2002-07-01,Euro,112.3438565
2002-08-01,Euro,111.7760618
2002-09-03,Euro,113.0933454
2002-10-01,Euro,111.9577561
2002-11-01,Euro,113.2296162
2002-12-02,Euro,112.7299568
2003-01-02,Euro,117.6584147
2003-02-03,Euro,122.2007722
2003-03-03,Euro,123.0411083
2003-04-01,Euro,123.824665
2003-05-01,Euro,127.6175335
2003-06-02,Euro,133.3636157
2003-07-01,Euro,131.5012491
2003-08-01,Euro,127.776516
2003-09-02,Euro,123.4612764
2003-10-01,Euro,132.9548035
2003-11-03,Euro,130.0704065
2003-12-01,Euro,135.7710652
2004-01-02,Euro,142.9934136
2004-02-02,Euro,141.1083352
2004-03-01,Euro,141.1651147
2004-04-01,Euro,140.3361345
2004-05-03,Euro,135.5553032
2004-06-01,Euro,138.6554622
2004-07-01,Euro,138.0649557
2004-08-02,Euro,136.6568249
2004-09-01,Euro,138.3034295
2004-10-01,Euro,140.813082
2004-11-01,Euro,144.6854417
2004-12-01,Euro,151.1242335
2005-01-03,Euro,153.0320236
2005-02-01,Euro,147.8196684
2005-03-01,Euro,149.7728821
2005-04-01,Euro,146.4456053
2005-05-02,Euro,146.0027254
2005-06-01,Euro,138.9052918
2005-07-01,Euro,135.7824211
2005-08-01,Euro,138.4851238
2005-09-01,Euro,141.346809
2005-10-03,Euro,135.2941176
2005-11-01,Euro,136.2480127
2005-12-01,Euro,132.8866682
2006-01-03,Euro,136.0436066
2006-02-01,Euro,137.3154667
2006-03-01,Euro,135.1237792
2006-04-03,Euro,137.6788553
2006-05-01,Euro,143.163752
2006-06-01,Euro,145.6279809
2006-07-03,Euro,145.2759482
2006-08-01,Euro,145.1056098
2006-09-01,Euro,145.730184
2006-10-02,Euro,144.7195094
2006-11-01,Euro,145.0261186
2006-12-01,Euro,151.2150806
2007-01-02,Euro,150.8744038
2007-02-01,Euro,147.865092
2007-03-01,Euro,149.5911878
2007-04-02,Euro,151.8737225
2007-05-01,Euro,154.4401544
2007-06-01,Euro,152.6232114
2007-07-02,Euro,154.7467636
2007-08-01,Euro,155.3713377
2007-09-03,Euro,154.9057461
2007-10-01,Euro,161.5830116
2007-11-01,Euro,163.9223257
